movieId,rating_count,avg_rating,title,genres
356,329,4.164133738601824,Forrest Gump (1994),Comedy|Drama|Romance|War
318,317,4.429022082018927,"Shawshank Redemption, The (1994)",Crime|Drama
296,307,4.197068403908795,Pulp Fiction (1994),Comedy|Crime|Drama|Thriller
593,279,4.161290322580645,"Silence of the Lambs, The (1991)",Crime|Horror|Thriller
2571,278,4.192446043165468,"Matrix, The (1999)",Action|Sci-Fi|Thriller
260,251,4.231075697211155,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Sci-Fi
480,238,3.75,Jurassic Park (1993),Action|Adventure|Sci-Fi|Thriller
110,237,4.031645569620253,Braveheart (1995),Action|Drama|War
589,224,3.970982142857143,Terminator 2: Judgment Day (1991),Action|Sci-Fi
527,220,4.225,Schindler's List (1993),Drama|War
2959,218,4.272935779816514,Fight Club (1999),Action|Crime|Drama|Thriller
1,215,3.9209302325581397,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
1196,211,4.2156398104265405,Star Wars: Episode V - The Empire Strikes Back (1980),Action|Adventure|Sci-Fi
2858,204,4.056372549019608,American Beauty (1999),Drama|Romance
50,204,4.237745098039215,"Usual Suspects, The (1995)",Crime|Mystery|Thriller
47,203,3.9753694581280787,Seven (a.k.a. Se7en) (1995),Mystery|Thriller
780,202,3.4455445544554455,Independence Day (a.k.a. ID4) (1996),Action|Adventure|Sci-Fi|Thriller
150,201,3.845771144278607,Apollo 13 (1995),Adventure|Drama|IMAX
1198,200,4.2075,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),Action|Adventure
4993,198,4.106060606060606,"Lord of the Rings: The Fellowship of the Ring, The (2001)",Adventure|Fantasy
1210,196,4.137755102040816,Star Wars: Episode VI - Return of the Jedi (1983),Action|Adventure|Sci-Fi
858,192,4.2890625,"Godfather, The (1972)",Crime|Drama
457,190,3.9921052631578946,"Fugitive, The (1993)",Thriller
592,189,3.4285714285714284,Batman (1989),Action|Crime|Thriller
5952,188,4.0212765957446805,"Lord of the Rings: The Two Towers, The (2002)",Adventure|Fantasy
2028,188,4.1462765957446805,Saving Private Ryan (1998),Action|Drama|War
7153,185,4.118918918918919,"Lord of the Rings: The Return of the King, The (2003)",Action|Adventure|Drama|Fantasy
588,183,3.7923497267759565,Aladdin (1992),Adventure|Animation|Children|Comedy|Musical
608,181,4.116022099447513,Fargo (1996),Comedy|Crime|Drama|Thriller
2762,179,3.893854748603352,"Sixth Sense, The (1999)",Drama|Horror|Mystery
380,178,3.497191011235955,True Lies (1994),Action|Adventure|Comedy|Romance|Thriller
32,177,3.983050847457627,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller
364,172,3.941860465116279,"Lion King, The (1994)",Adventure|Animation|Children|Drama|Musical|IMAX
1270,171,4.038011695906433,Back to the Future (1985),Adventure|Comedy|Sci-Fi
377,171,3.5292397660818713,Speed (1994),Action|Romance|Thriller
3578,170,3.9382352941176473,Gladiator (2000),Action|Adventure|Drama
4306,170,3.8676470588235294,Shrek (2001),Adventure|Animation|Children|Comedy|Fantasy|Romance
1580,165,3.487878787878788,Men in Black (a.k.a. MIB) (1997),Action|Comedy|Sci-Fi
590,164,3.8353658536585367,Dances with Wolves (1990),Adventure|Drama|Western
648,162,3.537037037037037,Mission: Impossible (1996),Action|Adventure|Mystery|Thriller
344,161,3.040372670807453,Ace Ventura: Pet Detective (1994),Comedy
4226,159,4.122641509433962,Memento (2000),Mystery|Thriller
367,157,3.1847133757961785,"Mask, The (1994)",Action|Comedy|Crime|Fantasy
58559,149,4.238255033557047,"Dark Knight, The (2008)",Action|Crime|Drama|IMAX
6539,149,3.778523489932886,Pirates of the Caribbean: The Curse of the Black Pearl (2003),Action|Adventure|Comedy|Fantasy
1214,146,3.969178082191781,Alien (1979),Horror|Sci-Fi
595,146,3.7705479452054793,Beauty and the Beast (1991),Animation|Children|Fantasy|Musical|Romance|IMAX
1036,145,3.8620689655172415,Die Hard (1988),Action|Crime|Thriller
500,144,3.388888888888889,Mrs. Doubtfire (1993),Comedy|Drama
165,144,3.5555555555555554,Die Hard: With a Vengeance (1995),Action|Crime|Thriller
